type,category,data1,data2,data3,recipe id,description
straight,Device,Democracy,Product,Product,67,A device that displays recent purchases by Mayor Brump and who they were purchased from.
straight,Mobile app,Product,Weather,Product,68,An app that uses information from weather sensors to provide more accurate asparagus market predictions.
straight,Research,Health,Geography,Health,69,An analysis of the instances and strength of odours from Peter's Pond.
straight,Service,Geography,Geography,Health,70,A planning service helping people choose homes and schools based on local air pollution levels.
straight,Research,Geography,Weather,Geography,71,An analysis of the movements of hedgehogs around Sheridan during extreme weather.
straight,Research,Product,Democracy,Democracy,72,A study on Mayor Brump's expenses during his time in office.
straight,Mobile app,Democracy,Health,Geography,73,A mobile map of Sheridan's public clinics for people over 65.
straight,Mobile app,Weather,Geography,Weather,74,An app showing the location of hedgehogs in your area and likely migration as winter approaches.
cluster,Device,Democracy,Democracy,Transport,75,A motion sensor that tells Mayor Brump how many people are riding Brump Cable Car at any time.
pair,Research,Weather,Health,,76,An analysis of the effects of snowfall on health.
